"filename", "language", "SCSS", "CSS", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\components\footer.tsx", "TypeScript JSX", 0, 0, 10, 0, 0, 4, 14
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\components\navbar.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, 5, 27
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\data\soundsMeta.ts", "TypeScript", 0, 0, 0, 98, 0, 4, 102
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\pages\_app.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 2, 7
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\pages\_document.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 2, 14
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\pages\api\hello.ts", "TypeScript", 0, 0, 0, 10, 1, 3, 14
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\pages\index.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 4, 25
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\pages\landing\hero.tsx", "TypeScript JSX", 0, 0, 36, 0, 0, 7, 43
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\pages\landing\learn-more.tsx", "TypeScript JSX", 0, 0, 39, 0, 0, 4, 43
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\pages\player\player.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 4, 28
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\pages\player\soundcard.tsx", "TypeScript JSX", 0, 0, 69, 0, 0, 10, 79
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\pages\player\sounds.tsx", "TypeScript JSX", 0, 0, 39, 0, 0, 8, 47
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\styles\Footer.module.scss", "SCSS", 10, 0, 0, 0, 0, 0, 10
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\styles\Hero.module.scss", "SCSS", 64, 0, 0, 0, 0, 15, 79
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\styles\Index.module.scss", "SCSS", 60, 0, 0, 0, 0, 9, 69
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\styles\LearnMore.module.scss", "SCSS", 69, 0, 0, 0, 0, 15, 84
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\styles\Navbar.module.scss", "SCSS", 17, 0, 0, 0, 0, 2, 19
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\styles\Player.module.scss", "SCSS", 54, 0, 0, 0, 0, 7, 61
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\styles\Soundcard.module.scss", "SCSS", 48, 0, 0, 0, 0, 6, 54
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\styles\Sounds.module.scss", "SCSS", 35, 0, 0, 0, 0, 3, 38
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\styles\globals.css", "CSS", 0, 21, 0, 0, 4, 7, 32
"Total", "-", 357, 21, 277, 108, 5, 121, 889
